D1,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E5],p3q2T [OD_E4],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
Male,Germany,5 - 10 years,Experiment,51 - 100 members,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat agree,Strongly agree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Affect a lot,Somewhat affect,Neutral,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect,Strongly disagree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Neutral,Somewhat agree,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Neutral,Somewhat helpful,,,,,Weekly,Monthly,Weekly,Once every 3 months,Weekly,Weekly,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,Moderately satisfied,Rarely affect,Affect a lot,Somewhat affect,Neutral
Male,United States of America,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Somewhat affect,Not at all affect,Not at all affect,Neutral,Neutral,Neutral,Neutral,Somewhat affect,Neutral,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,,,,,Somewhat helpful,Neutral,Neutral,Neutral,Neutral,,,,,Daily,Less than once a year,Daily,Weekly,Weekly,Less than once a year,Very satisfied,No experience,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
Male,Brazil,more than 20 years,Experiment,> 500 members,,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,No,Yes,No,,Affect a lot,Affect a lot,Neutral,Affect a lot,Affect a lot,Neutral,Neutral,Neutral,Affect a lot,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,,,,,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Very unhelpful,,,,,Once every 3 months,Once every 3 months,Weekly,Monthly,Monthly,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Somewhat affect,Affect a lot
Male,Germany,11 - 15 years,Experiment,> 500 members,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Neutral,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,Very helpful,Very helpful,Somewhat unhelpful,Somewhat unhelpful,Very unhelpful,,,,"There is an ambiguity of data/code at which level is to be provided. In HEP I am typically not interested in the analysis code within some experiment software which I can't run anyway, but on an analysis code which runs in e.g. Rivet or other frameworks for analysis preservation after detector corrections.",Daily,Daily,Weekly,Daily,Daily,Once a year,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Neutral,Somewhat affect
Male,India,less than 5 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The HEP community as a whole should decide and set practices.,,No,Yes,No,No,,Somewhat affect,Neutral,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,,Very unhelpful,Very unhelpful,Somewhat unhelpful,Somewhat helpful,Very unhelpful,,,,,Monthly,Once every 3 months,Twice a year,Twice a year,Once a year,Twice a year,Very satisfied,No experience,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
Male,United States of America,more than 20 years,Experiment,101 - 500 members,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,No,Yes,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,,,,"Although note that even within a collaboration, with documentation for new collaborators, it's really hard to get up to speed on the software.  I doubt reviewers will want to put in weeks learning how to use these proposed tools.",Weekly,Twice a year,Monthly,Monthly,Weekly,Less than once a year,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Very satisfied,No experience,Neither satisfied nor dissatisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot
Male,Germany,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,Very helpful,Very helpful,Neutral,Neutral,Somewhat helpful,,,,,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect
Male,Germany,16 - 20 years,Other,,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,Yes,Yes,No,No,,No,No,No,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,Yes,No,No,,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Very helpful,Very helpful,Somewhat helpful,Very helpful,Very helpful,,,,,Daily,Monthly,Daily,Less than once a year,Monthly,Less than once a year,Very satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Affect a lot
Female,Spain,more than 20 years,Experiment,> 500 members,,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat affect,Neutral,Somewhat affect,Rarely affect,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,,,,,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Very helpful,,,,,Monthly,Monthly,Weekly,Less than once a year,Daily,Less than once a year,Moderately satisfied,Very satisfied,Very satisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect
Male,United States of America,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,No,No,No,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,No,Yes,No,No,,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Neutral,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,,,,,Neutral,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,,,,,Weekly,Once every 3 months,Daily,Weekly,Daily,Less than once a year,Moderately dissatisfied,Moderately dissatisfied,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Male,United States of America,11 - 15 years,Experiment,101 - 500 members,,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,No,No,Yes,No,No,No,No,No,No,No,No,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Neutral,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,,,,,Very helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful,,,,"it's not useful to distringuish between code and script. in general by code one should consider any computer program.or system used in an analysis (including DB data, resource files)",Daily,Weekly,Monthly,Weekly,Weekly,Daily,Very satisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,No experience,Very satisfied,Very satisfied,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect
Male,United States of America,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,No,No,Yes,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Rarely affect,Somewhat affect,Rarely affect,Rarely affect,Affect a lot,Somewhat affect,Somewhat affect,Strongly disagree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,Very helpful,Very helpful,Very unhelpful,Somewhat unhelpful,Very helpful,,,,,Daily,Weekly,Monthly,Once every 3 months,Daily,Daily,Moderately satisfied,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,Very satisfied,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect
Male,United States of America,more than 20 years,Experiment,101 - 500 members,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,No,No,Yes,No,No,No,No,No,No,Somewhat agree,Neutral,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,No,Yes,No,,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,,,,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,,,,,Monthly,Monthly,Weekly,Once a year,Weekly,Monthly,Moderately dissatisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,No experience,Moderately satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Somewhat affect,Neutral
Male,United States of America,16 - 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Affect a lot,Affect a lot,Somewhat affect,Rarely affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,,,,,Very helpful,Very helpful,Neutral,Neutral,Very helpful,,,,,Daily,Monthly,Weekly,Monthly,Daily,Weekly,Very satisfied,Very satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
Male,United States of America,11 - 15 years,Experiment,> 500 members,,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,The HEP community as a whole should decide and set practices.,,No,Yes,No,No,,Somewhat affect,Neutral,Affect a lot,Neutral,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Not at all affect,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neutral,,,,,Somewhat helpful,Very helpful,Neutral,Neutral,Very helpful,,,,,Daily,Less than once a year,Twice a year,Weekly,Weekly,Less than once a year,Very satisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Prefer not to say,United States of America,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,No,Yes,"Code needs to be examined both for internal review and publication. Result data publication should accompany the publication. Input datasets, like a CMS dataset, should be published separately following the practices of telescope data.",Other,"The HEP community as a whole should decide and set practices for data. Code publication should be decided by code authors, but should be required to be reviewed with rules set by collaborations or the field as a whole.",Yes,Yes,No,No,,Affect a lot,Not at all affect,Neutral,Somewhat affect,Not at all affect,Affect a lot,Affect a lot,Not at all affect,Affect a lot,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Neutral,Strongly agree,,,,,Neutral,Very helpful,Neutral,Neutral,Neutral,,,,Most physics papers are just text descriptions of their code. The code is the publication and should be the primary focus of peer review; not the paper.,Weekly,Less than once a year,Weekly,Weekly,Daily,Once a year,Very dissatisfied,No experience,Very dissatisfied,Neither satisfied nor dissatisfied,No experience,Moderately dissatisfied,Very dissatisfied,Rarely affect,Affect a lot,Affect a lot,Affect a lot
Female,United States of America,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Not at all affect,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,,,,,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Very unhelpful,,,,I do data management for HEP.  Open access to full data is technologically impossible without more resources to support it even though I’d like it to be accessible.,Weekly,Weekly,Daily,Monthly,Daily,Twice a year,Moderately satisfied,Moderately satisfied,Very satisfied,Moderately dissatisfied,No experience,Very satisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot
Male,United States of America,16 - 20 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,No,No,Yes,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,No,No,Yes,No,,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful,,,,,Daily,Daily,Daily,Weekly,Twice a year,Daily,Very satisfied,Very satisfied,Moderately satisfied,Very satisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Male,United States of America,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat affect,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Neutral,,,,,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,Very satisfied,No experience,Moderately satisfied,Very satisfied,No experience,Very satisfied,No experience,Neutral,Somewhat affect,Affect a lot,Neutral
Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Theory,,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,Yes,No,No,,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,Strongly agree,Neutral,Strongly agree,Strongly agree,,,,,,Neutral,Neutral,Somewhat helpful,,Once every 3 months,Less than once a year,Weekly,Weekly,Weekly,Less than once a year,Very satisfied,No experience,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect
Male,United States of America,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Yes,No,No,Yes,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Neutral,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Rarely affect,Rarely affect,Neutral,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Very unhelpful,Very unhelpful,Very unhelpful,,,,,Daily,Daily,Daily,Weekly,Daily,Less than once a year,Very satisfied,Very satisfied,Moderately dissatisfied,Very dissatisfied,No experience,Moderately satisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect
Male,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Experiment,> 500 members,,Somewhat agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,No,No,Yes,"Would require a lot of additional work, no incentive to do it from metrics used by future employers.",Affect a lot,Affect a lot,Not at all affect,Not at all affect,Neutral,Neutral,Affect a lot,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Very unhelpful,Very unhelpful,Very unhelpful,Somewhat helpful,Very unhelpful,,,,,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,Very satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,No experience,Not at all affect,Affect a lot,Affect a lot,Affect a lot
Male,Portugal,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,No,No,No,,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Affect a lot,Rarely affect,Affect a lot,Not at all affect,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,,,,,Very helpful,Very helpful,Very helpful,Somewhat unhelpful,Somewhat helpful,,,,,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,Very satisfied,No experience,Moderately satisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Female,United States of America,5 - 10 years,Experiment,> 500 members,,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Neutral,Somewhat affect,Affect a lot,Neutral,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,,,,,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful,,,,,Daily,Daily,Monthly,Daily,Daily,Monthly,Very satisfied,Moderately dissatisfied,Very dissatisfied,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
Male,France,11 - 15 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Neutral,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect,Neutral,Somewhat affect,Rarely affect,Neutral,Somewhat agree,Neutral,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neutral,,,,,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Neutral,,,,,Weekly,Monthly,Weekly,Daily,Daily,Less than once a year,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Neutral,Affect a lot,Affect a lot,Somewhat affect
Male,Mexico,more than 20 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,No,No,Yes,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,No,No,No,,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,,Somewhat helpful,Very helpful,Very helpful,Very helpful,Very helpful,,,,,Monthly,Monthly,Weekly,Weekly,Weekly,Weekly,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Somewhat affect,Somewhat affect,Somewhat affect
