Gender,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E4],p3q2T [OD_E5],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
F,Spain,Senior,EX,> 500 ,,4,3,4,4,3,N,N,N,N,Y,N,N,N,N,N,N,2,2,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,Y,N,N,,4,4,3,5,5,4,3,4,2,4,4,2,2,5,2,5,5,,,,,4,4,5,5,5,,,,,Monthly,Monthly,Weekly,Less than once a year,Daily,Less than once a year,4,5,5,0,0,5,0,5,4,5,4
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,4,N,N,N,Y,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,funder,,N,Y,N,N,,4,4,5,5,5,4,3,5,5,5,5,1,1,3,5,1,5,,,,,3,4,5,4,4,,,,,Weekly,Once every 3 months,Daily,Weekly,Daily,Less than once a year,2,2,5,4,0,5,0,5,5,5,5
M,United States of America,Junior,EX,101 - 500 ,,5,5,4,4,3,N,N,Y,N,N,N,N,N,N,N,N,4,5,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,funder,,Y,Y,N,N,,4,5,3,5,4,4,4,5,5,3,5,1,1,3,2,4,5,,,,,5,4,3,4,4,,,,"it's Nt useful to distringuish between code and script. in general by code one should consider any computer program.or system used in an analysis (including DB data, resource files)",Daily,Weekly,Monthly,Weekly,Weekly,Daily,5,4,2,5,0,5,5,5,5,4,4
M,United States of America,Junior,EX,> 500 ,,5,5,5,5,4,N,N,Y,N,N,N,N,N,N,N,N,5,5,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,,community,,Y,Y,N,N,,4,5,2,4,2,2,5,4,4,1,5,2,3,5,2,4,4,,,,,5,5,1,2,5,,,,,Daily,Weekly,Monthly,Once every 3 months,Daily,Daily,4,1,1,3,4,4,5,4,5,4,2
M,United States of America,Senior,EX,101 - 500 ,,4,1,4,2,1,N,N,N,N,Y,N,N,N,N,N,N,4,3,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,N,Y,N,,5,4,4,3,5,5,4,5,3,3,4,2,4,1,5,1,1,,,,,1,1,1,1,1,,,,,Monthly,Monthly,Weekly,Once a year,Weekly,Monthly,2,2,3,2,0,4,4,4,5,4,3
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,5,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,N,Y,N,N,,5,5,4,2,5,4,4,5,5,2,5,2,1,2,5,2,4,,,,,5,5,3,3,5,,,,,Daily,Monthly,Weekly,Monthly,Daily,Weekly,5,5,2,3,0,5,5,4,5,5,5
M,United States of America,Junior,EX,> 500 ,,3,5,4,3,3,N,N,N,N,Y,N,N,N,N,N,N,5,4,2,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,community,,N,Y,N,N,,4,3,5,3,5,5,4,5,1,2,5,5,1,1,5,2,3,,,,,4,5,3,3,5,,,,,Daily,Less than once a year,Twice a year,Weekly,Weekly,Less than once a year,5,0,3,5,0,4,0,4,5,5,4
NA,United States of America,Junior,EX,> 500 ,,5,5,4,5,5,Y,Y,N,N,Y,N,N,N,N,N,N,5,4,5,4,,,,,NA,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,Y,"Code needs to be examined both for internal review and publication. Result data publication should accompany the publication. Input datasets, like a CMS dataset, should be published separately following the practices of telescope data.",Other,"The HEP community as a whole should decide and set practices for data. Code publication should be decided by code authors, but should be required to be reviewed with rules set by collaborations or the field as a whole.",Y,Y,N,N,,5,1,3,4,1,5,5,1,5,5,3,5,3,5,2,3,5,,,,,3,5,3,3,3,,,,Most physics papers are just text descriptions of their code. The code is the publication and should be the primary focus of peer review; Nt the paper.,Weekly,Less than once a year,Weekly,Weekly,Daily,Once a year,1,0,1,3,0,2,1,2,5,5,5
F,United States of America,Senior,EX,> 500 ,,5,5,5,5,3,Y,Y,Y,Y,N,N,N,N,N,N,N,4,2,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,Y,N,N,,community,,Y,Y,N,N,,4,5,4,5,1,4,5,4,3,3,5,2,4,2,4,1,5,,,,,1,1,4,4,1,,,,I do data management for HEP.  Open access to full data is techNlogically impossible without more resources to support it even though I’d like it to be accessible.,Weekly,Weekly,Daily,Monthly,Daily,Twice a year,4,4,5,2,0,5,0,5,4,4,5
M,United States of America,Senior,EX,> 500 ,,5,4,3,2,4,N,N,Y,N,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,funder,,N,N,Y,N,,5,5,4,5,3,4,4,4,5,5,5,4,4,3,5,3,4,,,,,4,4,3,4,4,,,,,Daily,Daily,Daily,Weekly,Twice a year,Daily,5,5,4,5,0,5,5,4,5,5,4
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,3,Y,Y,Y,N,N,N,N,N,N,N,N,5,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,4,3,3,3,3,3,3,4,3,4,4,3,2,4,2,4,5,,,,,4,4,4,4,3,,,,,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,5,0,4,5,0,5,0,3,4,5,3
M,United States of America,Junior,EX,> 500 ,,5,5,5,4,2,Y,N,N,Y,N,N,N,N,N,N,N,4,4,3,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,community,,Y,Y,N,N,,4,5,4,4,3,2,2,3,3,2,5,1,1,2,2,2,4,,,,,4,4,1,1,1,,,,,Daily,Daily,Daily,Weekly,Daily,Less than once a year,5,5,2,1,0,4,0,5,4,4,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,4,1,3,1,1,Y,N,N,N,N,N,N,N,N,N,N,2,2,3,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,N,N,Y,"Would require a lot of additional work, N incentive to do it from metrics used by future employers.",5,5,1,1,3,3,5,5,5,4,5,4,4,5,5,5,5,,,,,1,1,1,4,1,,,,,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,5,2,3,3,0,3,0,1,5,5,5
M,Portugal,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,N,N,N,,5,4,4,3,5,5,2,5,1,5,5,2,1,5,5,2,5,,,,,5,5,5,2,4,,,,,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,5,0,4,5,0,5,0,5,5,5,5
F,United States of America,Junior,EX,> 500 ,,4,5,5,2,2,Y,Y,Y,N,N,N,N,N,N,N,N,4,4,4,2,,,,,NA,N,N,N,N,N,N,N,N,,Y,Y,Y,Y,N,N,N,,collab,,Y,Y,N,N,,4,4,4,4,3,3,4,5,3,2,5,2,2,3,4,3,4,,,,,5,5,4,4,5,,,,,Daily,Daily,Monthly,Daily,Daily,Monthly,5,2,1,5,0,4,4,5,5,5,4
M,France,Junior,EX,> 500 ,,5,4,5,4,3,N,N,N,N,Y,N,N,N,N,N,N,3,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,Y,Y,N,N,,3,4,5,4,2,3,4,2,3,4,3,2,1,1,1,4,3,,,,,3,3,4,4,3,,,,,Weekly,Monthly,Weekly,Daily,Daily,Less than once a year,5,0,4,4,0,5,0,3,5,5,4
M,Mexico,Senior,EX,> 500 ,,5,5,4,5,4,N,N,Y,N,N,N,N,N,N,N,N,4,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,N,N,N,,4,3,4,4,4,4,4,5,4,4,5,4,4,5,5,4,5,,,,,4,5,5,5,5,,,,,Monthly,Monthly,Weekly,Weekly,Weekly,Weekly,5,5,5,5,5,5,5,3,4,4,4
M,United States of America,Junior,EX,> 500 ,,5,4,5,4,3,Y,Y,Y,N,N,N,N,N,N,N,N,5,5,5,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,Y,Y,N,N,,4,4,2,5,5,5,5,3,4,3,5,3,3,1,3,3,4,,,,,3,3,4,4,4,,,,"I feel this might make a bigger difference in smaller, Nn-HEP EXs like some of the dark matter EXs or smaller astroNmical surveys.",Weekly,Once every 3 months,Weekly,Weekly,Weekly,Monthly,5,3,4,5,3,4,4,4,5,5,4
M,France,Senior,EX,> 500 ,,5,5,5,4,4,N,N,N,N,Y,N,N,N,N,N,N,2,2,3,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,collab,,N,N,Y,N,,5,4,4,1,4,4,4,5,4,4,4,1,2,1,4,2,1,,,,,4,1,1,1,3,,,,,Less than once a year,Less than once a year,Weekly,Less than once a year,Daily,Less than once a year,0,0,4,0,0,5,0,5,4,5,5
M,United States of America,Junior,EX,> 500 ,,5,5,5,5,4,Y,Y,N,Y,N,N,N,N,N,N,N,5,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,N,N,N,,community,,Y,Y,N,N,,4,5,1,4,5,5,5,5,3,2,5,2,2,4,2,4,4,,,,,5,4,4,4,2,,,,,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,4,5,3,4,0,4,0,5,5,5,5
M,Republic of Korea,Junior,EX,101 - 500 ,,5,4,5,4,3,Y,N,N,N,N,N,N,N,N,N,N,3,3,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,individual,,Y,Y,N,N,,4,3,4,5,3,4,3,3,3,4,5,2,4,2,4,4,4,,,,,5,5,5,5,5,,,,,Monthly,Weekly,Monthly,Daily,Daily,Less than once a year,5,5,5,4,0,5,0,4,5,5,4
F,United States of America,Junior,EX,> 500 ,,5,5,5,5,3,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,,community,,Y,Y,N,N,,4,5,3,3,3,4,5,5,5,2,5,1,1,3,4,4,5,,,,,4,4,3,5,5,,,,,Daily,Daily,Daily,Daily,Daily,Daily,5,2,3,3,0,4,5,4,5,5,4
M,United States of America,Senior,EX,> 500 ,,4,4,4,5,2,Y,N,N,N,N,N,N,N,N,N,N,3,3,1,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,collab,,N,N,Y,Y,I don't think very complex analysis software is useful.,2,3,3,2,3,4,2,4,3,3,4,2,1,1,4,2,2,,,,,2,1,3,3,1,,,,,Monthly,Less than once a year,Monthly,Less than once a year,Daily,Less than once a year,3,0,3,0,0,2,0,4,4,4,4
F,the United Kingdom of Great Britain and Nrthern Ireland,Junior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,N,Y,N,N,,community,,Y,Y,N,N,,3,5,5,5,5,5,2,5,2,5,5,2,4,5,4,4,4,,,,,5,5,5,5,5,,,,,Daily,Twice a year,Monthly,Monthly,Weekly,Twice a year,5,3,4,5,0,3,5,4,5,4,5
F,Canada,Junior,EX,> 500 ,,1,1,1,5,3,N,N,N,N,Y,N,N,N,N,N,N,1,1,1,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,collab,,N,Y,N,N,,5,3,3,3,5,5,3,5,3,1,5,1,1,1,5,1,1,,,,,1,1,2,1,1,,,,,Monthly,Weekly,Daily,Daily,Daily,Less than once a year,4,4,4,4,0,4,0,5,5,4,4
M,United States of America,Junior,EX,> 500 ,,5,5,4,4,3,Y,Y,N,Y,N,N,N,N,N,N,N,4,2,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,collab,,Y,Y,N,N,,4,5,3,4,4,5,4,3,3,3,5,2,2,1,4,3,3,,,,,4,3,2,2,3,,,,,Daily,Once a year,Once every 3 months,Once every 3 months,Daily,Daily,5,3,3,3,4,5,4,4,5,5,5
M,Ecuador,Junior,EX,51 - 100 ,,5,5,5,4,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,N,Y,N,N,,3,3,3,3,3,3,3,3,3,3,5,1,1,4,3,3,5,,,,,5,5,4,4,5,,,,,Weekly,Less than once a year,Monthly,Weekly,Weekly,Less than once a year,1,0,2,1,0,1,0,5,5,5,3
F,United States of America,Junior,EX,> 500 ,,4,4,3,5,3,Y,N,Y,N,N,N,N,N,N,N,N,2,3,2,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,5,3,4,4,3,2,4,5,4,5,5,2,1,2,3,4,4,,,,,2,1,3,4,3,,,,,Daily,Weekly,Weekly,Daily,Daily,Monthly,5,2,2,5,0,3,4,1,5,5,4
M,United States of America,Senior,EX,101 - 500 ,,5,5,4,3,3,Y,N,Y,Y,N,N,N,N,N,N,N,4,4,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,N,N,N,N,,collab,,N,Y,N,N,,4,4,5,4,3,4,4,3,4,4,5,4,3,3,4,4,3,,,,,4,3,3,4,3,,,,,Less than once a year,Less than once a year,Once a year,Less than once a year,Less than once a year,Less than once a year,4,0,3,3,0,4,0,4,4,4,2
M,United States of America,Senior,EX,> 500 ,,4,3,2,4,3,Y,N,N,N,Y,N,N,N,N,N,N,4,4,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,N,Y,N,,5,5,1,5,3,3,3,4,4,2,4,4,4,2,4,2,3,,,,,1,1,4,4,1,,,,Public release of data and code from a large EX seems to be completely unrealistic and of little use to anyone.,Daily,Weekly,Daily,Daily,Daily,Less than once a year,4,4,5,4,0,4,0,5,5,5,5
M,Canada,Junior,EX,20 - 50 ,,4,4,5,5,3,Y,N,N,N,Y,N,N,N,N,N,N,2,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,,community,,Y,N,N,N,,4,4,4,4,5,5,5,3,5,2,5,3,2,1,4,3,4,,,,,4,4,2,2,2,,,,,Less than once a year,Less than once a year,Monthly,Daily,Weekly,Less than once a year,0,0,4,4,0,2,4,3,4,3,5
M,Germany,Junior,EX,> 500 ,,4,3,3,3,2,N,N,N,N,Y,N,N,N,N,N,N,1,4,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,collab,,Y,Y,N,N,,5,5,4,5,5,5,5,1,3,5,4,5,5,1,5,1,1,,,,,1,1,4,5,1,,,,,Daily,Daily,Daily,Daily,Daily,Weekly,5,5,5,5,5,5,3,4,5,4,1
M,France,Senior,EX,101 - 500 ,,4,4,4,1,1,Y,N,N,N,Y,N,N,N,N,N,N,3,3,3,3,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,N,N,N,N,,community,,N,N,Y,N,,5,3,3,3,3,3,3,3,3,1,5,1,1,1,5,1,1,,,,,1,1,1,1,1,,,,,Weekly,Less than once a year,Less than once a year,Less than once a year,Weekly,Less than once a year,0,0,0,0,0,5,0,5,2,2,5
F,United States of America,Junior,EX,> 500 ,,5,5,5,3,3,Y,N,Y,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,3,5,2,4,4,4,5,5,5,1,5,2,2,3,1,4,5,,,,,5,5,5,3,4,,,,,Daily,Monthly,Weekly,Weekly,Monthly,Once every 3 months,5,5,5,5,0,4,5,2,5,3,4
F,France,Senior,EX,> 500 ,,5,5,4,4,3,Y,N,N,N,N,N,N,N,N,N,N,4,4,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,5,5,4,4,3,5,4,3,3,4,5,4,5,2,4,4,2,,,,,1,2,3,3,2,,,,,Monthly,Weekly,Daily,Monthly,Daily,Less than once a year,5,4,5,4,0,5,0,5,5,5,3
M,United States of America,Junior,EX,> 500 ,,5,5,5,4,3,Y,N,N,N,N,N,N,N,N,N,N,5,4,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,,collab,,Y,Y,N,N,,4,5,4,5,5,5,4,5,1,3,5,2,2,4,4,4,4,,,,,5,5,4,4,4,,,,,Weekly,Less than once a year,Daily,Daily,Daily,Less than once a year,4,0,3,4,0,5,0,5,5,5,4
M,Russian Federation,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,3,4,5,,,,,NA,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,,community,,Y,Y,N,N,,4,5,3,3,5,4,4,3,3,2,5,2,2,3,4,4,5,,,,,4,4,4,3,4,,,,,Daily,Twice a year,Weekly,Twice a year,Twice a year,Less than once a year,5,0,4,0,0,3,0,4,4,4,4
M,United States of America,Junior,EX,> 500 ,,4,3,5,3,4,Y,N,N,Y,N,N,N,N,N,N,N,4,4,2,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,Y,Y,N,N,,5,5,3,5,5,4,4,5,5,3,3,3,4,3,2,3,3,,,,,4,4,4,4,2,,,,,Daily,Weekly,Daily,Monthly,Daily,Daily,3,2,3,3,0,3,4,4,5,5,5
M,Canada,Junior,EX,20 - 50 ,,5,5,5,3,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,,community,,Y,N,N,N,,4,3,5,5,5,3,2,5,3,4,5,2,2,4,5,3,4,,,,,5,5,4,4,5,,,,,Daily,Less than once a year,Daily,Daily,Daily,Monthly,4,0,4,3,4,4,4,5,5,5,5
M,United States of America,Junior,EX,> 500 ,,5,5,5,3,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,Y,Y,N,Y,Y,N,N,,individual,,Y,Y,N,N,,3,3,3,2,1,2,1,1,1,4,5,1,1,1,5,2,5,,,,,5,5,5,5,5,,,,,Weekly,Less than once a year,Weekly,Monthly,Daily,Once every 3 months,4,0,4,0,0,4,0,3,3,5,5
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,N,N,Y,N,,4,5,5,5,5,5,5,5,5,4,5,2,2,4,1,5,5,,,,,3,4,5,5,4,,,,,Monthly,Weekly,Daily,Monthly,Daily,Less than once a year,4,4,5,5,0,5,0,5,5,5,5
M,Canada,Senior,EX,> 500 ,,5,5,4,4,4,N,N,N,Y,N,N,N,N,N,N,N,4,4,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,Y,N,N,,3,3,3,2,3,3,3,4,3,4,5,1,2,3,3,3,4,,,,,5,4,3,2,3,,,,,Once a year,Weekly,Daily,Monthly,Daily,Less than once a year,3,2,2,3,0,4,0,4,5,5,4
M,United States of America,Junior,EX,> 500 ,,4,5,4,5,2,N,N,N,N,Y,N,N,N,N,N,N,5,5,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,N,N,Y,N,,5,3,2,4,5,3,4,3,4,5,5,1,1,2,2,3,4,,,,,3,4,5,5,2,,,,don't kNw how much time peer reviewers have,Twice a year,Less than once a year,Once every 3 months,Less than once a year,Weekly,Less than once a year,2,0,4,0,0,5,0,4,4,5,5
M,United States of America,Senior,EX,> 500 ,,5,5,5,2,2,Y,N,N,N,N,N,N,N,N,N,N,2,2,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,N,N,Y,N,,4,5,5,5,5,5,3,5,3,1,5,2,1,1,4,1,1,,,,,1,1,1,1,1,,,,,Weekly,Weekly,Daily,Monthly,Daily,Monthly,4,4,4,4,0,5,4,5,5,5,5
M,Czech Republic,Junior,EX,101 - 500 ,,5,4,4,4,4,Y,N,N,N,N,N,N,N,N,N,N,5,5,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,5,5,4,4,3,4,4,3,4,2,4,4,4,2,4,2,4,,,,,4,3,4,3,3,,,,"The software is often very complex, who outside of the collaboration would have the time and will to actually review it?",Monthly,Less than once a year,Weekly,Monthly,Monthly,Less than once a year,5,0,5,5,0,4,0,5,4,5,5
F,United States of America,Junior,EX,> 500 ,,4,2,4,5,5,Y,N,N,N,N,N,N,N,N,N,N,4,4,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,funder,,Y,N,N,N,,4,5,3,5,3,4,5,5,2,4,5,3,2,5,4,4,5,,,,,4,5,5,4,3,,,,,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,5,0,4,5,0,5,0,4,5,5,5
M,Canada,Junior,EX,> 500 ,,4,4,3,3,3,N,Y,N,N,N,N,N,N,N,N,N,3,3,3,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,Y,N,N,,5,4,4,4,4,4,4,5,4,3,5,2,4,4,1,2,3,,,,,4,4,3,3,3,,,,,Weekly,Weekly,Daily,Weekly,Weekly,Less than once a year,4,4,4,3,0,4,0,4,5,4,4
M,the United Kingdom of Great Britain and Nrthern Ireland,Senior,EX,> 500 ,,5,5,5,4,5,Y,N,N,Y,N,N,N,N,N,N,N,5,5,2,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,Y,Large collaborations have datasets used by 100s of analyses. When the raw dataset should be released needs careful consideration.,collab,,Y,Y,N,N,,5,5,2,4,2,5,5,3,2,1,5,1,2,2,2,3,5,,,,,3,3,3,4,3,,,,will the reviewer have time to try to look at this?,Daily,Daily,Daily,Monthly,Daily,Once a year,4,4,4,3,0,4,3,5,4,4,4
M,United States of America,Junior,EX,> 500 ,,3,3,5,4,4,Y,N,N,N,N,N,N,N,N,N,N,2,2,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,Y,N,N,N,,4,5,4,4,4,4,4,4,5,2,5,1,1,1,4,2,2,,,,,3,2,3,3,1,,,,,Daily,Less than once a year,Daily,Less than once a year,Daily,Weekly,4,0,3,3,3,4,5,4,4,4,2
M,Brazil,Senior,EX,> 500 ,,4,3,4,4,3,Y,N,N,N,N,N,N,N,N,N,N,4,3,5,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,funder,,N,N,Y,N,,4,4,3,3,4,3,2,5,3,4,4,1,1,2,4,2,4,,,,,2,2,2,2,2,,,,,Once a year,Less than once a year,Daily,Weekly,Weekly,Less than once a year,0,0,5,0,0,5,0,4,5,5,5
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,4,4,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,funder,,Y,Y,N,N,,5,5,4,5,4,4,3,5,4,2,5,1,1,2,5,3,5,,,,,2,1,3,3,2,,,,,Monthly,Less than once a year,Monthly,Monthly,Weekly,Less than once a year,4,0,5,4,0,4,0,5,4,5,4
M,Greece,Junior,EX,> 500 ,,5,5,5,3,3,N,N,N,N,Y,N,N,N,N,N,N,5,4,5,1,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,From the beginning,collab,,Y,Y,N,N,,4,4,1,3,3,3,5,5,5,5,5,1,3,4,2,3,4,,,,,5,5,5,5,5,,,,,Twice a year,Monthly,Weekly,Weekly,Weekly,Less than once a year,3,5,4,5,0,5,0,5,4,5,5
F,Republic of Korea,Senior,EX,> 500 ,,4,4,4,4,4,N,Y,N,N,N,N,N,N,N,N,N,5,4,4,3,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,N,Y,N,N,,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,,,,,3,3,3,4,3,,,,,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,4,4,4,4,4,4,4,4,4,4,4
M,United States of America,Senior,EX,> 500 ,,5,5,5,4,4,Y,N,N,N,N,N,N,N,N,N,N,5,5,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,funder,,Y,N,N,N,,4,4,5,5,5,4,3,5,4,2,5,2,2,2,4,2,5,,,,,4,4,4,4,3,,,,,Weekly,Twice a year,Monthly,Daily,Daily,Less than once a year,4,0,4,5,0,5,0,4,4,5,4
M,United States of America,Senior,EX,> 500 ,,3,3,3,4,4,Y,N,N,Y,N,N,N,N,N,N,N,3,3,2,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,4,3,4,4,3,5,5,5,4,3,5,2,4,1,5,1,1,,,,,3,3,4,4,4,,,,,Monthly,Less than once a year,Weekly,Monthly,Daily,Less than once a year,5,0,4,4,0,5,0,4,4,3,5
F,United States of America,Junior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,1,2,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,Y,N,N,,4,3,5,5,5,3,4,4,4,2,5,5,4,1,5,1,2,,,,,1,1,1,1,1,,,,,Daily,Daily,Daily,Daily,Daily,Less than once a year,1,4,4,5,0,5,0,5,5,5,4
