id,Gender,Country,Seniority,Field,p4q1T_O,p4q1E_O,p4q2_O,p5q1_N,p7q2
646,Female,United States of America,5 - 10 years,Experiment,,,,,
650,Female,Italy,5 - 10 years,Experiment,,,,,
652,Female,China,less than 5 years,Experiment,,,,,
655,Female,Italy,more than 20 years,Experiment,,,,,
656,Female,Brazil,more than 20 years,Experiment,,,,,
657,Male,Italy,more than 20 years,Experiment,,,,,
664,Male,Belgium,less than 5 years,Experiment,,,,,
665,Male,Switzerland,11 - 15 years,Experiment,,,,,
666,Male,Italy,more than 20 years,Experiment,,,,,
670,Male,Canada,more than 20 years,Experiment,,,,,
672,Male,India,16 - 20 years,Experiment,,,,,
673,Male,United States of America,less than 5 years,Experiment,,,,,
675,Male,Italy,more than 20 years,Experiment,,,,,
677,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
678,Female,United States of America,less than 5 years,Experiment,,,,,
679,Male,Belgium,5 - 10 years,Experiment,,,,,
680,Female,Germany,16 - 20 years,Experiment,,,,,
681,Male,China,more than 20 years,Experiment,,,,,
686,Male,Italy,more than 20 years,Experiment,,,,,
687,Female,United States of America,16 - 20 years,Experiment,,,,,"As peer reviewers we are volunteers with extremely little time.  We would need an entirely new model of peer review if the task of checking data and code were added to review responsibilities.  Furthermore, most data and code are extremely difficult to understand in HEP if you don't already know details of the detector."
688,Male,Italy,more than 20 years,Experiment,,,,,
689,Male,Germany,more than 20 years,Experiment,,,,,
690,Male,Iran (Islamic Republic of),11 - 15 years,Experiment,,,,,
691,Female,Finland,more than 20 years,Experiment,,,,,
692,Male,Brazil,11 - 15 years,Experiment,,,,,
694,Male,Italy,more than 20 years,Experiment,,,,,
695,Male,Germany,more than 20 years,Experiment,,,,,
696,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
699,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
701,Female,Italy,more than 20 years,Experiment,,,,,
702,Female,Poland,5 - 10 years,Experiment,,,,,
704,Female,United States of America,less than 5 years,Experiment,,,,,
706,Female,Republic of Korea,16 - 20 years,Experiment,,,,,
708,Female,Italy,more than 20 years,Experiment,,,,,
709,Male,Italy,more than 20 years,Experiment,,,,,
711,Male,Bulgaria,16 - 20 years,Experiment,,,,,
712,Female,Canada,16 - 20 years,Experiment,,,,,
714,Male,France,more than 20 years,Experiment,,,,,
715,Prefer not to say,France,more than 20 years,Experiment,,,,,
716,Male,France,more than 20 years,Experiment,,,,,difficult to answer in such general sense
717,Male,Switzerland,more than 20 years,Experiment,,,,,
718,Male,United States of America,5 - 10 years,Experiment,,,,,
719,Male,Canada,more than 20 years,Experiment,,When the data are in a form that is easily comprehensible and small enough in scale. Releasing petabytes of raw data is utterly useless and extremely expensive.,,,
720,Male,South Africa,less than 5 years,Experiment,,,,,
721,Male,United States of America,more than 20 years,Experiment,,,,,
724,Male,France,16 - 20 years,Experiment,,,,,
725,Male,France,5 - 10 years,Experiment,,,,,
728,Male,Italy,5 - 10 years,Experiment,,,,,
731,Prefer not to say,United States of America,11 - 15 years,Experiment,,,,,
732,Male,United States of America,5 - 10 years,Experiment,,,,,
733,Male,United States of America,more than 20 years,Experiment,,,,,
737,Male,Colombia,less than 5 years,Experiment,,,,,
738,Male,United States of America,more than 20 years,Experiment,,,,,
739,Male,Germany,more than 20 years,Experiment,,,,,
741,Prefer not to say,Germany,5 - 10 years,Experiment,,,,,
742,Female,United States of America,more than 20 years,Experiment,,,,,
743,Male,China,less than 5 years,Experiment,,,,,
748,Male,United States of America,5 - 10 years,Experiment,,,,,
750,Male,United States of America,more than 20 years,Experiment,,,,,
752,Female,United States of America,5 - 10 years,Experiment,,,,,"Peer review is long enough, adding code would likely just slow things down"
753,Male,Italy,11 - 15 years,Experiment,,,,,
754,Male,United States of America,more than 20 years,Experiment,,,,,"sharing this kind of information with a referee is pointless, since they are not going to re-run. Our internal review process has already done this, and there is no point in duplicating effort"
756,Male,United States of America,less than 5 years,Experiment,,,,,
759,Male,Germany,5 - 10 years,Experiment,,,,,
761,Male,Russian Federation,more than 20 years,Experiment,,,,,
766,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
767,Male,Canada,5 - 10 years,Experiment,,,,,
769,Male,New Zealand,5 - 10 years,Experiment,,,,,
771,Female,France,5 - 10 years,Experiment,,,,,
774,Male,Switzerland,less than 5 years,Experiment,,,,,
775,Male,France,more than 20 years,Experiment,,,,,
778,Male,France,less than 5 years,Experiment,,,,,
781,Male,France,11 - 15 years,Experiment,,,,,"One difficulty with HEP data is that it usually corresponds to i) very large data sample ii) analysed with complex software suite, making it difficult to release fully. While it would be a sane option for the future (re-analyse LHC data back in 2050 would be great), data preservation and code analysis maintenance is a tedious and ressource greedy task."
782,Male,Greece,more than 20 years,Experiment,,,,,
786,Female,France,more than 20 years,Experiment,,,,,Here I see a difference between publication peer review and the collaborartion peer review. Everything should be available within the collaboration and the responses above are about the publication peer reviewers.
787,Male,Portugal,16 - 20 years,Experiment,,,,,
788,Male,Spain,less than 5 years,Experiment,,,,,
789,Male,Poland,more than 20 years,Experiment,,,,,
790,Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Experiment,,,,,"I would consider all, any, or none of these on a case-by-case basis"
791,Male,Germany,more than 20 years,Experiment,,,,,
792,Male,Sweden,more than 20 years,Experiment,,,,,
794,Male,Russian Federation,less than 5 years,Experiment,,,,,
798,Female,Germany,16 - 20 years,Experiment,,,,,
799,Male,France,more than 20 years,Experiment,,"In order to release data, you need to describe openly all calibration, source code etc. This is a lot a lot of work., which is absolutely not comparable to the publication workload. I have done this once. The dataset was published and documented 3 years later.",,,
800,Male,Germany,more than 20 years,Experiment,,,,,
803,Male,Italy,more than 20 years,Experiment,,,,,
804,Male,Czech Republic,11 - 15 years,Experiment,,,,,
805,Male,France,more than 20 years,Experiment,,,,,The gain is on botsh sides: analyser and reviewer. Providing those inputs as part of the review process ensures a higher quality in the data analysis practices.
806,Female,South Africa,5 - 10 years,Experiment,,,,,"It takes a lot of time for the analyzers to make their codes, it will take a lot of time for anyone else to understand them as well. Therefore it's not really ""easy"" to share in my opinion. It's not as simple as providing images to spot aliens."
807,Male,Israel,more than 20 years,Experiment,,,,,The complexity of a HEP analysis is such that only people that worked on it can correctly analyse it.
809,Male,United States of America,more than 20 years,Experiment,,,"I think models like the one astronomy uses where data collection and data analysis are factorized are good models. Anyone who pays for access should then be able to analyze data, and the release of analysis data and code should be part of the peer review process. How that data/code is released could vary by where it is published. Since most of the data collection is publicly funded, the raw data is owned by the public, not the collaboration; so there would be input from them as well.",,
813,Male,United States of America,more than 20 years,Experiment,,,,,
818,Male,China,5 - 10 years,Experiment,,"Research data can be openly released by the time as paper is published, the analysis code should be released only within collaboration. For full disclosure of code I think the best time is a few years after particular collaboration stops be active.",,,
822,Male,Spain,more than 20 years,Experiment,,,,,"Too generic. Which Data, which Code should be accessible in addition to manuscript ?"
824,Female,Italy,more than 20 years,Experiment,,,,,
825,Male,Netherlands,more than 20 years,Experiment,,,,,
826,Male,Colombia,more than 20 years,Experiment,,,,,
827,Female,Italy,16 - 20 years,Experiment,,,,,
830,Male,Russian Federation,5 - 10 years,Experiment,,,,,
831,Male,Italy,more than 20 years,Experiment,,,,,
833,Male,Germany,less than 5 years,Experiment,,,,,
834,Male,Ukraine,more than 20 years,Experiment,,,,,
836,Female,Israel,more than 20 years,Experiment,,"Since the same data is processed in many analyses, it takes time before the experiments have confidence in sharing the data",,,
837,Male,France,5 - 10 years,Experiment,,,,,attention should be paid not to overload referees...
838,Male,Russian Federation,16 - 20 years,Experiment,,,,,
839,Male,Romania,5 - 10 years,Experiment,,,,,
840,Male,Spain,more than 20 years,Experiment,,,,,
842,Male,France,11 - 15 years,Experiment,,,,,
845,Male,Czech Republic,more than 20 years,Experiment,,,,,"peer review already is a burden, more so for the reviewers than for the authors"
853,Male,Spain,11 - 15 years,Experiment,,,,,
855,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
859,Male,Germany,5 - 10 years,Experiment,,,,,
862,Male,Germany,5 - 10 years,Experiment,,,,,
863,Male,United States of America,more than 20 years,Experiment,,,,,
866,Male,Austria,less than 5 years,Experiment,,,,,
868,Female,Brazil,5 - 10 years,Experiment,,,,,
869,Male,Hungary,more than 20 years,Experiment,,,,,
870,Prefer not to say,United States of America,less than 5 years,Experiment,,,,,
872,Male,Sweden,more than 20 years,Experiment,,,,,
874,Female,United States of America,11 - 15 years,Experiment,,,,,
876,Male,Italy,16 - 20 years,Experiment,,"It is appropriate to share data, it is not always appropriate to share code",,,
879,Male,Czech Republic,more than 20 years,Experiment,,,,,
47,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
50,Male,Switzerland,less than 5 years,Experiment,,,,,
74,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
95,Male,United States of America,less than 5 years,Experiment,,,,,
97,Male,Brazil,less than 5 years,Experiment,,,,,
125,Male,Italy,less than 5 years,Experiment,,,,,
127,Male,Germany,less than 5 years,Experiment,,,,,
137,Male,Hungary,11 - 15 years,Experiment,,,,,
469,Male,Spain,16 - 20 years,Experiment,,,,,
609,Male,Spain,16 - 20 years,Experiment,,,,,
619,Male,Japan,less than 5 years,Experiment,,"Data should be supplied when manuscript is available for publication, code should be distributed some time after publication",,,
627,Male,Norway,less than 5 years,Experiment,,,,,
640,Male,Poland,more than 20 years,Experiment,,"Sharing the data is fine, but not sharing the code. There is usually a lot of work done on the code, and on the other hand it should be sufficient that the code is readable for the physicist who wrote it and there should be no requirement that the code fulfill any requirements expected by professional programers.",,,
772,Male,France,11 - 15 years,Experiment,,,,,
44,Male,Germany,less than 5 years,Experiment,,,,,
86,Male,Spain,less than 5 years,Experiment,,,,,
113,Male,India,less than 5 years,Experiment,,,,,
160,Male,Russian Federation,11 - 15 years,Experiment,,,,,
241,Male,Italy,5 - 10 years,Experiment,,,,,
256,Male,Netherlands,11 - 15 years,Experiment,,,,,
294,Male,Brazil,more than 20 years,Experiment,,,,,
524,Male,Spain,11 - 15 years,Experiment,,,,,
552,Male,South Africa,11 - 15 years,Experiment,,,,,
723,Male,Germany,more than 20 years,Experiment,,,,,
760,Male,United States of America,more than 20 years,Experiment,,,,,
780,Male,Italy,16 - 20 years,Experiment,,,,,
802,Female,Italy,less than 5 years,Experiment,,,,,
880,Male,France,11 - 15 years,Experiment,,,,,
333,Male,Russian Federation,more than 20 years,Experiment,,,,,
817,Male,Andorra,5 - 10 years,Experiment,,,,,
861,Male,United States of America,5 - 10 years,Experiment,,,,,
865,Male,Poland,11 - 15 years,Experiment,,,,,
1,Female,China,less than 5 years,Other,,,,,
17,Male,Switzerland,more than 20 years,Other,,,,,
64,Male,Germany,11 - 15 years,Other,,,,,
134,Male,Sweden,5 - 10 years,Other,,,,,
155,Male,Hungary,11 - 15 years,Other,The big question is: what to share. Calibrated tracks of filtered events that lead to the given result? Or the points that are on the published figures? It is a big difference!,,,,Reviewers have barely time to review the paper. They simply will not review any code or complicated content.
188,Male,Poland,less than 5 years,Other,,,,,
207,Male,France,11 - 15 years,Other,,,,,
250,Male,Germany,16 - 20 years,Other,,,,,
347,Male,Netherlands,less than 5 years,Other,,,,,
356,Male,Russian Federation,5 - 10 years,Other,,,,,
381,Male,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Other,,,,,
406,Male,Brazil,5 - 10 years,Other,,,,,
442,Male,Netherlands,less than 5 years,Other,,,,,
504,Male,Italy,more than 20 years,Other,,,,,
505,Male,Bulgaria,less than 5 years,Other,,,,,
546,Male,Belgium,11 - 15 years,Other,,,,,
553,Male,Italy,16 - 20 years,Other,,,,,
612,Male,Romania,less than 5 years,Other,,,,,
630,Female,Italy,16 - 20 years,Other,,,,,
671,Male,Germany,11 - 15 years,Other,,,,,
698,Male,Portugal,more than 20 years,Other,,,,,
848,Male,Germany,more than 20 years,Other,,,"It depends (abuse, funding, owner, ...)",,How much addintional work will be created?
854,Male,Belarus,more than 20 years,Other,,,,,
875,Male,Greece,more than 20 years,Other,,,,,
231,Prefer not to say,United States of America,11 - 15 years,Other,,,,,
13,Male,Finland,5 - 10 years,Theory,,,,,
15,Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Theory,,,,,
31,Male,Italy,11 - 15 years,Theory,,,,,
41,Prefer not to say,United States of America,more than 20 years,Theory,,,,,
58,Male,Slovenia,11 - 15 years,Theory,,,,,
70,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Theory,,,,,
108,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Theory,,,,,
109,Male,Italy,16 - 20 years,Theory,,,,,
138,Male,France,11 - 15 years,Theory,,,,,
139,Female,Portugal,5 - 10 years,Theory,I think data and code should be treated separately. Research data: as soon as it is submitted to arXiv; Code: probably some time after the publication of the paper,,,,
150,Male,Sweden,more than 20 years,Theory,,,,,
151,Male,Republic of Korea,more than 20 years,Theory,,,,,
156,Male,Denmark,5 - 10 years,Theory,,,,,
158,Male,Portugal,more than 20 years,Theory,,,,,
169,Male,Netherlands,more than 20 years,Theory,,,,,
196,Male,Germany,5 - 10 years,Theory,,,,,
210,Male,Italy,more than 20 years,Theory,,,,,
211,Male,Australia,11 - 15 years,Theory,,,,,
214,Male,Germany,more than 20 years,Theory,,,,,
236,Male,Czech Republic,5 - 10 years,Theory,,,,,
265,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Theory,,,,,
283,Male,Italy,more than 20 years,Theory,,,,,
300,Male,France,more than 20 years,Theory,,,,,
314,Male,Poland,more than 20 years,Theory,,,,,
328,Male,United States of America,more than 20 years,Theory,,,,"just has never come up, in my experience",
331,Female,South Africa,less than 5 years,Theory,,,,,
346,Male,Slovakia,16 - 20 years,Theory,,,,,
354,Male,France,16 - 20 years,Theory,,,,,
361,Male,Norway,less than 5 years,Theory,,,,,
400,Male,Germany,more than 20 years,Theory,,,,,
407,Prefer not to say,Germany,more than 20 years,Theory,,,,,
423,Male,Russian Federation,11 - 15 years,Theory,,,,,
425,Male,France,11 - 15 years,Theory,,,,,"The main problem with open data, is that other researchers will use your code to reproduce your results only on rare occasions, most of the time they will use it for their own benefits, to quickly publishing papers. You do the hard work, they get the credit ..."
438,Male,Italy,more than 20 years,Theory,,,,,
444,Male,Italy,more than 20 years,Theory,,,,I do not use codes and/or data for my research. My research is purely formal,
445,Female,Italy,more than 20 years,Theory,,,,,
456,Male,United States of America,more than 20 years,Theory,,,,,
467,Female,Germany,more than 20 years,Theory,,,,,
529,Male,Chile,more than 20 years,Theory,,,,,
536,Male,France,more than 20 years,Theory,,,,,
564,Male,Germany,11 - 15 years,Theory,,,,,
582,Male,Germany,5 - 10 years,Theory,Code for public should be usable for everybody not only the authors,,,,
617,Male,Republic of Korea,more than 20 years,Theory,,,,,
634,Female,China,less than 5 years,Theory,,,,,
642,Male,United States of America,more than 20 years,Theory,,,,,
661,Male,France,11 - 15 years,Theory,,,,,
668,Male,Germany,16 - 20 years,Theory,,,,,
697,Male,Colombia,more than 20 years,Theory,,,,,
700,Male,Russian Federation,more than 20 years,Theory,,,,,
703,Male,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Theory,,,,,"For my field (theory), open access is the most important. An issue not discussed in the survey is the cost of the journal subscriptions -- not open access -- for cash-strapped universities and research centres."
713,Male,Ukraine,more than 20 years,Theory,,,,,
749,Male,Italy,5 - 10 years,Theory,,,,,
751,Male,Hungary,more than 20 years,Theory,,,,,
757,Male,France,more than 20 years,Theory,,,,,
758,Male,Russian Federation,more than 20 years,Theory,,,,,
779,Male,Spain,more than 20 years,Theory,,,,,
793,Male,France,more than 20 years,Theory,,,,,
795,Male,Italy,more than 20 years,Theory,,,,,
796,Male,Bulgaria,more than 20 years,Theory,,,,,
797,Female,Denmark,16 - 20 years,Theory,,,,,
801,Male,Italy,more than 20 years,Theory,,,,,
849,Male,Lithuania,more than 20 years,Theory,,,,,
850,Male,Poland,more than 20 years,Theory,,,,,
852,Male,United States of America,more than 20 years,Theory,,,,,
857,Female,Venezuela (Bolivarian Republic of),more than 20 years,Theory,,,,,
867,Male,Switzerland,more than 20 years,Theory,,,,,
878,Male,Iran (Islamic Republic of),more than 20 years,Theory,,,,,
11,Male,United States of America,less than 5 years,Theory,,,,,
247,Male,Norway,more than 20 years,Theory,,,,,
291,Male,Ukraine,more than 20 years,Theory,,,,,
846,Male,Hungary,more than 20 years,Theory,,,,,
