id,Gender,Country,Seniority,Field,OS_BeneDiscipline,OS_BeneIndividual,OS_BenePublic,OA_ChSeeking,OA_ChSub,OD_aware,OD_seeking,OD_using,OD_sharing,OD_none,OD_publish,OD_anyone,OD_helpful,OD_dontaffect,Who_decide,Sharing_asked,Sharing_shared,Sharing_never,Sharing_not_interested,Sharing_addedwork,Sharing_rights,Sharing_competition,Sharing_quality,Sharing_essential,Sharing_selfeval,Sharing_request,Sharing_responsiblyused,Sharing_required,Doc_askpeople,Doc_reproduc,Doc_unproductive,Doc_unuseful,Rev_coderev,Rev_qualitynotaffect,Rev_doc,Rev_docreadywhenpublish,Tool_codemanage,Tool_issuetracker,Tool_docmanage,Tool_coediting,Tool_eventmanage,Tool_notebook,Happy_codemanage,Happy_issuetracker,Happy_docmanage,Happy_coediting,Happy_refmanage,Happy_eventmanage,Happy_notebook,Tool_endorsement,Tool_efficient,Tool_easy,Tool_peers
243,Male,Germany,Junior,Experiment,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Yes,No,Yes,Yes,No,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Community,Yes,Yes,No,No,Somewhat affect,Neutral,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Neutral,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Daily,Daily,Weekly,Daily,Daily,Once a year,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Neutral,Somewhat affect
244,Male,India,Junior,Experiment,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Community,No,Yes,No,No,Somewhat affect,Neutral,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Monthly,Once every 3 months,Twice a year,Twice a year,Once a year,Twice a year,Very satisfied,No experience,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
246,Male,United States of America,Senior,Experiment,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,No,Yes,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Weekly,Twice a year,Monthly,Monthly,Weekly,Less than once a year,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Very satisfied,No experience,Neither satisfied nor dissatisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot
248,Male,Germany,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Neutral,Collab,Yes,Yes,No,No,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect
251,Female,Spain,Senior,Experiment,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,No,No,No,No,Yes,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Collab,No,Yes,No,No,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat affect,Neutral,Somewhat affect,Rarely affect,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Monthly,Monthly,Weekly,Less than once a year,Daily,Less than once a year,Moderately satisfied,Very satisfied,Very satisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Somewhat affect
252,Male,United States of America,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,No,No,No,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Funders,No,Yes,No,No,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Neutral,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Weekly,Once every 3 months,Daily,Weekly,Daily,Less than once a year,Moderately dissatisfied,Moderately dissatisfied,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
253,Male,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,No,No,Yes,No,No,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Funders,Yes,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Daily,Weekly,Monthly,Weekly,Weekly,Daily,Very satisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,No experience,Very satisfied,Very satisfied,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect
255,Male,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,No,No,Yes,No,No,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Rarely affect,Somewhat affect,Rarely affect,Rarely affect,Affect a lot,Somewhat affect,Somewhat affect,Strongly disagree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Daily,Weekly,Monthly,Once every 3 months,Daily,Daily,Moderately satisfied,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,Very satisfied,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect
257,Male,United States of America,Senior,Experiment,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,No,No,No,No,Yes,Somewhat agree,Neutral,Strongly agree,Strongly agree,Collab,No,No,Yes,No,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Monthly,Monthly,Weekly,Once a year,Weekly,Monthly,Moderately dissatisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,No experience,Moderately satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Somewhat affect,Neutral
258,Male,United States of America,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Collab,No,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Rarely affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Daily,Monthly,Weekly,Monthly,Daily,Weekly,Very satisfied,Very satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
259,Male,United States of America,Junior,Experiment,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,No,No,No,No,Yes,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Community,No,Yes,No,No,Somewhat affect,Neutral,Affect a lot,Neutral,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Not at all affect,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neutral,Daily,Less than once a year,Twice a year,Weekly,Weekly,Less than once a year,Very satisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
260,Prefer not to say,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Yes,Yes,No,No,Yes,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Other,Yes,Yes,No,No,Affect a lot,Not at all affect,Neutral,Somewhat affect,Not at all affect,Affect a lot,Affect a lot,Not at all affect,Affect a lot,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Weekly,Less than once a year,Weekly,Weekly,Daily,Once a year,Very dissatisfied,No experience,Very dissatisfied,Neither satisfied nor dissatisfied,No experience,Moderately dissatisfied,Very dissatisfied,Rarely affect,Affect a lot,Affect a lot,Affect a lot
261,Female,United States of America,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,Yes,No,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Not at all affect,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Weekly,Weekly,Daily,Monthly,Daily,Twice a year,Moderately satisfied,Moderately satisfied,Very satisfied,Moderately dissatisfied,No experience,Very satisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot
263,Male,United States of America,Senior,Experiment,Strongly agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,No,No,Yes,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Funders,No,No,Yes,No,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Somewhat agree,Daily,Daily,Daily,Weekly,Twice a year,Daily,Very satisfied,Very satisfied,Moderately satisfied,Very satisfied,No experience,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
264,Male,United States of America,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Collab,Yes,Yes,No,No,Somewhat affect,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat affect,Neutral,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,Very satisfied,No experience,Moderately satisfied,Very satisfied,No experience,Very satisfied,No experience,Neutral,Somewhat affect,Affect a lot,Neutral
266,Male,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Yes,No,No,Yes,No,Somewhat agree,Somewhat agree,Neutral,Neutral,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Rarely affect,Rarely affect,Neutral,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Daily,Daily,Daily,Weekly,Daily,Less than once a year,Very satisfied,Very satisfied,Moderately dissatisfied,Very dissatisfied,No experience,Moderately satisfied,No experience,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect
267,Male,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Somewhat agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Yes,No,No,No,No,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Collab,No,No,No,Yes,Affect a lot,Affect a lot,Not at all affect,Not at all affect,Neutral,Neutral,Affect a lot,Affect a lot,Affect a lot,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,Very satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,No experience,Not at all affect,Affect a lot,Affect a lot,Affect a lot
269,Male,Portugal,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collab,Yes,No,No,No,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Affect a lot,Rarely affect,Affect a lot,Not at all affect,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Weekly,Less than once a year,Weekly,Daily,Daily,Less than once a year,Very satisfied,No experience,Moderately satisfied,Very satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
270,Female,United States of America,Junior,Experiment,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Collab,Yes,Yes,No,No,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Neutral,Somewhat affect,Affect a lot,Neutral,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Daily,Daily,Monthly,Daily,Daily,Monthly,Very satisfied,Moderately dissatisfied,Very dissatisfied,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
273,Male,France,Junior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,No,No,No,No,Yes,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Community,Yes,Yes,No,No,Neutral,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect,Neutral,Somewhat affect,Rarely affect,Neutral,Somewhat agree,Neutral,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neutral,Weekly,Monthly,Weekly,Daily,Daily,Less than once a year,Very satisfied,No experience,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Neutral,Affect a lot,Affect a lot,Somewhat affect
274,Male,Mexico,Senior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,No,No,Yes,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Collab,Yes,No,No,No,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Monthly,Monthly,Weekly,Weekly,Weekly,Weekly,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,Somewhat affect,Somewhat affect,Somewhat affect
276,Male,United States of America,Junior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Yes,Yes,Yes,No,No,Strongly agree,Strongly agree,Strongly agree,Neutral,Community,Yes,Yes,No,No,Somewhat affect,Somewhat affect,Rarely affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Somewhat affect,Neutral,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Somewhat agree,Weekly,Once every 3 months,Weekly,Weekly,Weekly,Monthly,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
277,Male,France,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,No,No,No,No,Yes,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Collab,No,No,Yes,No,Affect a lot,Somewhat affect,Somewhat affect,Not at all affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Less than once a year,Less than once a year,Weekly,Less than once a year,Daily,Less than once a year,No experience,No experience,Moderately satisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Affect a lot
278,Male,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,No,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Not at all affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Daily,Daily,Weekly,Monthly,Daily,Less than once a year,Moderately satisfied,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
279,Male,Republic of Korea,Junior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Yes,No,No,No,No,Neutral,Neutral,Somewhat agree,Strongly agree,Individual,Yes,Yes,No,No,Somewhat affect,Neutral,Somewhat affect,Affect a lot,Neutral,Somewhat affect,Neutral,Neutral,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Monthly,Weekly,Monthly,Daily,Daily,Less than once a year,Very satisfied,Very satisfied,Very satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
280,Female,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Neutral,Neutral,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Daily,Daily,Daily,Daily,Daily,Daily,Very satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
281,Male,United States of America,Senior,Experiment,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Yes,No,No,No,No,Neutral,Neutral,Strongly disagree,Somewhat agree,Collab,No,No,Yes,Yes,Rarely affect,Neutral,Neutral,Rarely affect,Neutral,Somewhat affect,Rarely affect,Somewhat affect,Neutral,Neutral,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Monthly,Less than once a year,Monthly,Less than once a year,Daily,Less than once a year,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,No experience,No experience,Moderately dissatisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
282,Female,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Community,Yes,Yes,No,No,Neutral,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Rarely affect,Affect a lot,Rarely affect,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Daily,Twice a year,Monthly,Monthly,Weekly,Twice a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Very satisfied,No experience,Neither satisfied nor dissatisfied,Very satisfied,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot
285,Female,Canada,Junior,Experiment,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,No,No,No,No,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Collab,No,Yes,No,No,Affect a lot,Neutral,Neutral,Neutral,Affect a lot,Affect a lot,Neutral,Affect a lot,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Monthly,Weekly,Daily,Daily,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect
287,Male,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Yes,Yes,No,Yes,No,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Collab,Yes,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neutral,Neutral,Daily,Once a year,Once every 3 months,Once every 3 months,Daily,Daily,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
288,Male,Ecuador,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collab,No,Yes,No,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Neutral,Neutral,Strongly agree,Weekly,Less than once a year,Monthly,Weekly,Weekly,Less than once a year,Very dissatisfied,No experience,Moderately dissatisfied,Very dissatisfied,No experience,Very dissatisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Neutral
289,Female,United States of America,Junior,Experiment,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,Yes,No,Yes,No,No,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Collab,Yes,Yes,No,No,Affect a lot,Neutral,Somewhat affect,Somewhat affect,Neutral,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Daily,Weekly,Weekly,Daily,Daily,Monthly,Very satisfied,Moderately dissatisfied,Moderately dissatisfied,Very satisfied,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,Not at all affect,Affect a lot,Affect a lot,Somewhat affect
290,Male,United States of America,Senior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Neutral,Neutral,Yes,No,Yes,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Collab,No,Yes,No,No,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Neutral,Less than once a year,Less than once a year,Once a year,Less than once a year,Less than once a year,Less than once a year,Moderately satisfied,No experience,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Rarely affect
292,Male,United States of America,Senior,Experiment,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Neutral,Yes,No,No,No,Yes,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Collab,No,No,Yes,No,Affect a lot,Affect a lot,Not at all affect,Affect a lot,Neutral,Neutral,Neutral,Somewhat affect,Somewhat affect,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Daily,Weekly,Daily,Daily,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Very satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
293,Male,Canada,Junior,Experiment,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,Yes,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Community,Yes,No,No,No,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Neutral,Affect a lot,Somewhat disagree,Strongly agree,Neutral,Somewhat disagree,Strongly disagree,Somewhat agree,Neutral,Somewhat agree,Less than once a year,Less than once a year,Monthly,Daily,Weekly,Less than once a year,No experience,No experience,Moderately satisfied,Moderately satisfied,No experience,Moderately dissatisfied,Moderately satisfied,Neutral,Somewhat affect,Neutral,Affect a lot
295,Male,Germany,Junior,Experiment,Somewhat agree,Neutral,Neutral,Neutral,Somewhat disagree,No,No,No,No,Yes,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Not at all affect,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Daily,Daily,Daily,Daily,Daily,Weekly,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat affect,Affect a lot,Somewhat affect,Not at all affect
296,Male,France,Senior,Experiment,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,No,No,No,Yes,Neutral,Neutral,Neutral,Neutral,Community,No,No,Yes,No,Affect a lot,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Weekly,Less than once a year,Less than once a year,Less than once a year,Weekly,Less than once a year,No experience,No experience,No experience,No experience,No experience,Very satisfied,No experience,Affect a lot,Rarely affect,Rarely affect,Affect a lot
297,Female,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,Yes,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collab,Yes,Yes,No,No,Neutral,Affect a lot,Rarely affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neutral,Strongly disagree,Somewhat agree,Strongly agree,Daily,Monthly,Weekly,Weekly,Monthly,Once every 3 months,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No experience,Moderately satisfied,Very satisfied,Rarely affect,Affect a lot,Neutral,Somewhat affect
